id,Nome_KOI,Nome_Kepler,Disposicao_KOI,Pontuacao_KOI,Periodo_Orbital,Raio_Planeta,Temperatura_Equilibrio,Fluxo_Insolacao,Temperatura_Efetiva,Gravidade_Surface,Erro_Periodo_Orbital_+,Erro_Periodo_Orbital_-,Flag_Nao_Transito,Flag_Sinal_Secundario,Flag_Contaminacao,Flag_Contaminacao_Ecliptica
10797460,K00752.01,Kepler-227 b,CONFIRMED,1.0,9.48803557,2.26,793.0,93.59,3012.777777777778,4.467,2.775e-05,-2.775e-05,0,0,0,0
10797460,K00752.02,Kepler-227 c,CONFIRMED,0.969,54.4183827,2.83,443.0,9.11,3012.777777777778,4.467,0.0002479,-0.0002479,0,0,0,0
10811496,K00753.01,Kepler-7910 rr,CANDIDATE,0.0,19.89913995,14.6,638.0,39.3,3233.8888888888887,4.544,1.494e-05,-1.494e-05,0,0,0,0
10854555,K00755.01,Kepler-664 b,CONFIRMED,1.0,2.525591777,2.75,1406.0,926.16,3332.777777777778,4.438,3.761e-06,-3.761e-06,0,0,0,0
10872983,K00756.01,Kepler-228 d,CONFIRMED,1.0,11.09432054,3.9,835.0,114.81,3341.1111111111113,4.486,2.036e-05,-2.036e-05,0,0,0,0
10872983,K00756.02,Kepler-228 c,CONFIRMED,1.0,4.13443512,2.77,1160.0,427.65,3341.1111111111113,4.486,1.046e-05,-1.046e-05,0,0,0,0
10872983,K00756.03,Kepler-228 b,CONFIRMED,0.992,2.56658897,1.59,1360.0,807.74,3341.1111111111113,4.486,1.781e-05,-1.781e-05,0,0,0,0
10910878,K00757.01,Kepler-229 c,CONFIRMED,1.0,16.06864674,5.76,600.0,30.75,2777.222222222222,4.485,1.088e-05,-1.088e-05,0,0,0,0
11446443,K00001.01,Kepler-1 b,CONFIRMED,0.811,2.470613377,13.04,1339.0,761.46,3215.5555555555557,4.457,2.7e-08,-2.7e-08,0,0,0,0
10666592,K00002.01,Kepler-2 b,CONFIRMED,1.0,2.204735417,16.1,2048.0,4148.92,3560.0,4.019,4.3e-08,-4.3e-08,0,1,0,0
6922244,K00010.01,Kepler-8 b,CONFIRMED,0.998,3.522498429,14.59,1521.0,1264.67,3440.5555555555557,4.169,1.98e-07,-1.98e-07,0,0,0,0
10984090,K00112.02,Kepler-466 c,CONFIRMED,1.0,3.709214104,1.16,1206.0,500.46,3222.777777777778,4.407,6.536e-06,-6.536e-06,0,0,0,0
10526549,K00746.01,Kepler-660 b,CONFIRMED,1.0,9.27358173,2.47,649.0,41.85,2680.0,4.583,1.037e-05,-1.037e-05,0,0,0,0
10583066,K00747.01,Kepler-661 b,CONFIRMED,1.0,6.02930329,2.85,678.0,50.04,2502.777777777778,4.648,5.509e-06,-5.509e-06,0,0,0,0
10601284,K00749.01,Kepler-226 c,CONFIRMED,1.0,5.349553819,2.55,919.0,168.99,2862.777777777778,4.44,8.834e-06,-8.834e-06,0,0,0,0
10601284,K00749.02,Kepler-226 b,CONFIRMED,0.98,3.94105221,1.7,1018.0,253.15,2862.777777777778,4.44,1.094e-05,-1.094e-05,0,0,0,0
10601284,K00749.03,Kepler-226 d,CONFIRMED,0.971,8.10904807,1.3,800.0,97.03,2862.777777777778,4.44,6.787e-05,-6.787e-05,0,0,0,0
10662202,K00750.01,Kepler-662 b,CONFIRMED,1.0,21.67699193,2.95,530.0,18.64,2734.4444444444443,4.5,7.01e-05,-7.01e-05,0,0,0,0
